,subject,parameter,value,IDs
116471,32,$\alpha$,0.013256449,31
116472,33,$\alpha$,0.014978255,61
116473,34,$\alpha$,0.01018899,47
116474,35,$\alpha$,0.022974934,65
116475,36,$\alpha$,0.035745934,52
116476,37,$\alpha$,0.018738536,62
116477,38,$\alpha$,0.018262275,34
116478,39,$\alpha$,0.019032743,60
116479,40,$\alpha$,0.01386784,38
116480,1,$\alpha$,0.050756387,25
116481,2,$\alpha$,0.03754826,32
116482,3,$\alpha$,0.035204545,33
116483,4,$\alpha$,0.029113865,27
116484,5,$\alpha$,0.025968367,51
116485,6,$\alpha$,0.018099329,55
116486,7,$\alpha$,0.023073083,63
116487,8,$\alpha$,0.021541463,37
116488,9,$\alpha$,0.011700253,50
116489,10,$\alpha$,0.040005695,42
116490,11,$\alpha$,0.02018532,56
116491,12,$\alpha$,0.05596501,49
116492,13,$\alpha$,0.019202195,40
116493,14,$\alpha$,0.0683377,54
116494,15,$\alpha$,0.02689149,66
116495,16,$\alpha$,0.016112221,67
116496,17,$\alpha$,0.026740652,46
116497,18,$\alpha$,0.013958092,24
116498,19,$\alpha$,0.028629951,23
116499,20,$\alpha$,0.031547226,43
116500,21,$\alpha$,0.019587828,64
116501,22,$\alpha$,0.01636049,58
116502,23,$\alpha$,0.046168264,48
116503,24,$\alpha$,0.02968026,29
116504,25,$\alpha$,0.021727348,45
116505,26,$\alpha$,0.02257594,28
116506,27,$\alpha$,0.025627878,39
116507,28,$\alpha$,0.025808424,44
116508,29,$\alpha$,0.039760526,57
116509,30,$\alpha$,0.03159932,35
116510,31,$\alpha$,0.043109145,30
116511,32,$\alpha$,0.02350104,31
116512,33,$\alpha$,0.028110899,61
116513,34,$\alpha$,0.028777035,47
116514,35,$\alpha$,0.02533853,65
116515,36,$\alpha$,0.025185097,52
116516,37,$\alpha$,0.02527518,62
116517,38,$\alpha$,0.03120545,34
116518,39,$\alpha$,0.03503402,60
116519,40,$\alpha$,0.03226375,38
116520,1,$\alpha$,0.01659963,25
116521,2,$\alpha$,0.015157839,32
116522,3,$\alpha$,0.009399993,33
116523,4,$\alpha$,0.007494727,27
116524,5,$\alpha$,0.013945898,51
116525,6,$\alpha$,0.0048057237,55
116526,7,$\alpha$,0.0051654247,63
116527,8,$\alpha$,0.011299053,37
116528,9,$\alpha$,0.01272481,50
116529,10,$\alpha$,0.011873668,42
116530,11,$\alpha$,0.007155214,56
116531,12,$\alpha$,0.019333713,49
116532,13,$\alpha$,0.009326075,40
116533,14,$\alpha$,0.008677881,54
116534,15,$\alpha$,0.008728135,66
116535,16,$\alpha$,0.00956434,67
116536,17,$\alpha$,0.009307203,46
116537,18,$\alpha$,0.011710164,24
116538,19,$\alpha$,0.0058748634,23
116539,20,$\alpha$,0.012089743,43
116540,21,$\alpha$,0.006526759,64
116541,22,$\alpha$,0.006936368,58
116542,23,$\alpha$,0.018987201,48
116543,24,$\alpha$,0.015404708,29
116544,25,$\alpha$,0.0050586085,45
116545,26,$\alpha$,0.027911777,28
116546,27,$\alpha$,0.0053263484,39
116547,28,$\alpha$,0.0208265,44
116548,29,$\alpha$,0.008087454,57
116549,30,$\alpha$,0.014828374,35
116550,31,$\alpha$,0.018946191,30
116551,32,$\alpha$,0.011253901,31
116552,33,$\alpha$,0.010994687,61
116553,34,$\alpha$,0.00824923,47
116554,35,$\alpha$,0.022441503,65
116555,36,$\alpha$,0.008696162,52
116556,37,$\alpha$,0.0063605867,62
116557,38,$\alpha$,0.03601165,34
116558,39,$\alpha$,0.015146453,60
116559,40,$\alpha$,0.01605388,38
116560,1,$\alpha$,0.030692467,25
116561,2,$\alpha$,0.059224382,32
116562,3,$\alpha$,0.02974171,33
116563,4,$\alpha$,0.057503123,27
116564,5,$\alpha$,0.043472134,51
116565,6,$\alpha$,0.022959672,55
116566,7,$\alpha$,0.030765664,63
116567,8,$\alpha$,0.040946677,37
116568,9,$\alpha$,0.016036084,50
116569,10,$\alpha$,0.06336116,42
116570,11,$\alpha$,0.027655007,56
116571,12,$\alpha$,0.019611802,49
116572,13,$\alpha$,0.021654757,40
116573,14,$\alpha$,0.05383648,54
116574,15,$\alpha$,0.030370682,66
116575,16,$\alpha$,0.03055188,67
116576,17,$\alpha$,0.06976886,46
116577,18,$\alpha$,0.03716788,24
116578,19,$\alpha$,0.029109962,23
116579,20,$\alpha$,0.037049934,43
116580,21,$\alpha$,0.029612904,64
116581,22,$\alpha$,0.038322326,58
116582,23,$\alpha$,0.029281454,48
116583,24,$\alpha$,0.023283638,29
116584,25,$\alpha$,0.048317693,45
116585,26,$\alpha$,0.04293745,28
116586,27,$\alpha$,0.03879117,39
116587,28,$\alpha$,0.023391861,44
116588,29,$\alpha$,0.017599458,57
116589,30,$\alpha$,0.036316372,35
116590,31,$\alpha$,0.09507958,30
116591,32,$\alpha$,0.026979968,31
116592,33,$\alpha$,0.015885826,61
116593,34,$\alpha$,0.018876463,47
116594,35,$\alpha$,0.021662023,65
116595,36,$\alpha$,0.042060316,52
116596,37,$\alpha$,0.040375266,62
116597,38,$\alpha$,0.053591587,34
116598,39,$\alpha$,0.033668987,60
116599,40,$\alpha$,0.040828522,38
116600,1,$\alpha$,0.0144591825,25
116601,2,$\alpha$,0.016457967,32
116602,3,$\alpha$,0.055417124,33
116603,4,$\alpha$,0.019286586,27
116604,5,$\alpha$,0.019507863,51
116605,6,$\alpha$,0.02153042,55
116606,7,$\alpha$,0.018842326,63
116607,8,$\alpha$,0.011261001,37
116608,9,$\alpha$,0.023237215,50
116609,10,$\alpha$,0.012162325,42
116610,11,$\alpha$,0.017241599,56
116611,12,$\alpha$,0.027821716,49
116612,13,$\alpha$,0.027947048,40
116613,14,$\alpha$,0.033628557,54
116614,15,$\alpha$,0.023399519,66
116615,16,$\alpha$,0.016500033,67
116616,17,$\alpha$,0.026428862,46
116617,18,$\alpha$,0.021011887,24
116618,19,$\alpha$,0.016755259,23
116619,20,$\alpha$,0.029452328,43
116620,21,$\alpha$,0.02843297,64
116621,22,$\alpha$,0.047104668,58
116622,23,$\alpha$,0.033740137,48
116623,24,$\alpha$,0.013784748,29
116624,25,$\alpha$,0.019075412,45
116625,26,$\alpha$,0.024708861,28
116626,27,$\alpha$,0.014373383,39
116627,28,$\alpha$,0.027850606,44
116628,29,$\alpha$,0.016570535,57
116629,30,$\alpha$,0.017859047,35
116630,31,$\alpha$,0.055444628,30
116631,32,$\alpha$,0.058783364,31
116632,33,$\alpha$,0.066740446,61
116633,34,$\alpha$,0.022086078,47
116634,35,$\alpha$,0.018749189,65
116635,36,$\alpha$,0.043572303,52
116636,37,$\alpha$,0.05425543,62
116637,38,$\alpha$,0.018332731,34
116638,39,$\alpha$,0.014132408,60
116639,40,$\alpha$,0.018904377,38
116640,1,$\alpha$,0.011375358,25
116641,2,$\alpha$,0.040799513,32
116642,3,$\alpha$,0.018258601,33
116643,4,$\alpha$,0.024204131,27
116644,5,$\alpha$,0.029933777,51
116645,6,$\alpha$,0.028547524,55
116646,7,$\alpha$,0.017629048,63
116647,8,$\alpha$,0.018147057,37
116648,9,$\alpha$,0.036142543,50
116649,10,$\alpha$,0.019200906,42
116650,11,$\alpha$,0.017582607,56
116651,12,$\alpha$,0.024656832,49
116652,13,$\alpha$,0.02900782,40
116653,14,$\alpha$,0.020991554,54
116654,15,$\alpha$,0.028566863,66
116655,16,$\alpha$,0.037418287,67
116656,17,$\alpha$,0.022442061,46
116657,18,$\alpha$,0.04017184,24
116658,19,$\alpha$,0.017637357,23
116659,20,$\alpha$,0.028046444,43
116660,21,$\alpha$,0.016668852,64
116661,22,$\alpha$,0.015491505,58
116662,23,$\alpha$,0.024668531,48
116663,24,$\alpha$,0.022644915,29
116664,25,$\alpha$,0.023692241,45
116665,26,$\alpha$,0.014733639,28
116666,27,$\alpha$,0.032006696,39
116667,28,$\alpha$,0.005993108,44
116668,29,$\alpha$,0.021884926,57
116669,30,$\alpha$,0.025601892,35
116670,31,$\alpha$,0.020474195,30
116671,32,$\alpha$,0.013245986,31
116672,33,$\alpha$,0.032274477,61
116673,34,$\alpha$,0.015253821,47
116674,35,$\alpha$,0.04022233,65
116675,36,$\alpha$,0.027527379,52
116676,37,$\alpha$,0.01821076,62
116677,38,$\alpha$,0.045891207,34
116678,39,$\alpha$,0.024674332,60
116679,40,$\alpha$,0.012775993,38
116680,1,$\alpha$,0.014302517,25
116681,2,$\alpha$,0.023349287,32
116682,3,$\alpha$,0.0248585,33
116683,4,$\alpha$,0.022365933,27
116684,5,$\alpha$,0.039443415,51
116685,6,$\alpha$,0.012884539,55
116686,7,$\alpha$,0.022837566,63
116687,8,$\alpha$,0.022472482,37
116688,9,$\alpha$,0.022013603,50
116689,10,$\alpha$,0.015285835,42
116690,11,$\alpha$,0.0176852,56
116691,12,$\alpha$,0.023089472,49
116692,13,$\alpha$,0.030848484,40
116693,14,$\alpha$,0.020692976,54
116694,15,$\alpha$,0.021036277,66
116695,16,$\alpha$,0.015583932,67
116696,17,$\alpha$,0.02629061,46
116697,18,$\alpha$,0.01872377,24
116698,19,$\alpha$,0.03221522,23
116699,20,$\alpha$,0.021809394,43
116700,21,$\alpha$,0.013631872,64
116701,22,$\alpha$,0.01304845,58
116702,23,$\alpha$,0.02123733,48
116703,24,$\alpha$,0.023430696,29
116704,25,$\alpha$,0.009993958,45
116705,26,$\alpha$,0.009442095,28
116706,27,$\alpha$,0.019183097,39
116707,28,$\alpha$,0.011057734,44
116708,29,$\alpha$,0.028056962,57
116709,30,$\alpha$,0.025772566,35
116710,31,$\alpha$,0.022670519,30
116711,32,$\alpha$,0.032941047,31
116712,33,$\alpha$,0.030822271,61
116713,34,$\alpha$,0.020981165,47
116714,35,$\alpha$,0.02476542,65
116715,36,$\alpha$,0.038657688,52
116716,37,$\alpha$,0.028154226,62
116717,38,$\alpha$,0.031724006,34
116718,39,$\alpha$,0.035837684,60
116719,40,$\alpha$,0.032476462,38
116720,1,$\alpha$,0.018939625,25
116721,2,$\alpha$,0.035545696,32
116722,3,$\alpha$,0.021599546,33
116723,4,$\alpha$,0.013420253,27
116724,5,$\alpha$,0.01705673,51
116725,6,$\alpha$,0.017248128,55
116726,7,$\alpha$,0.007055682,63
116727,8,$\alpha$,0.011523972,37
116728,9,$\alpha$,0.02216643,50
116729,10,$\alpha$,0.013881183,42
116730,11,$\alpha$,0.023542063,56
116731,12,$\alpha$,0.048766654,49
116732,13,$\alpha$,0.03303094,40
116733,14,$\alpha$,0.03812863,54
116734,15,$\alpha$,0.019038482,66
116735,16,$\alpha$,0.05042591,67
116736,17,$\alpha$,0.038038984,46
116737,18,$\alpha$,0.017014123,24
116738,19,$\alpha$,0.014348773,23
116739,20,$\alpha$,0.01628988,43
116740,21,$\alpha$,0.01922724,64
116741,22,$\alpha$,0.01762505,58
116742,23,$\alpha$,0.039265823,48
116743,24,$\alpha$,0.026449403,29
116744,25,$\alpha$,0.01859196,45
116745,26,$\alpha$,0.029376356,28
116746,27,$\alpha$,0.007947804,39
116747,28,$\alpha$,0.016298166,44
116748,29,$\alpha$,0.012164313,57
116749,30,$\alpha$,0.031883463,35
116750,31,$\alpha$,0.033384502,30
116751,32,$\alpha$,0.0342565,31
116752,33,$\alpha$,0.014710123,61
116753,34,$\alpha$,0.02837577,47
116754,35,$\alpha$,0.017577337,65
116755,36,$\alpha$,0.031492516,52
116756,37,$\alpha$,0.009481583,62
116757,38,$\alpha$,0.046317246,34
116758,39,$\alpha$,0.07458319,60
116759,40,$\alpha$,0.01932509,38
116760,1,$\alpha$,0.026410447,25
116761,2,$\alpha$,0.040339265,32
116762,3,$\alpha$,0.023390591,33
116763,4,$\alpha$,0.013041795,27
116764,5,$\alpha$,0.03850383,51
116765,6,$\alpha$,0.023050414,55
116766,7,$\alpha$,0.030679816,63
116767,8,$\alpha$,0.014127447,37
116768,9,$\alpha$,0.035774946,50
116769,10,$\alpha$,0.045391947,42
116770,11,$\alpha$,0.019526755,56
116771,12,$\alpha$,0.02814868,49
116772,13,$\alpha$,0.025126152,40
116773,14,$\alpha$,0.052296635,54
116774,15,$\alpha$,0.018307,66
116775,16,$\alpha$,0.022720292,67
116776,17,$\alpha$,0.019774614,46
116777,18,$\alpha$,0.023063267,24
116778,19,$\alpha$,0.030235749,23
116779,20,$\alpha$,0.012795161,43
116780,21,$\alpha$,0.06828244,64
116781,22,$\alpha$,0.039901685,58
116782,23,$\alpha$,0.023538195,48
116783,24,$\alpha$,0.029572783,29
116784,25,$\alpha$,0.020093981,45
116785,26,$\alpha$,0.060573444,28
116786,27,$\alpha$,0.01499965,39
116787,28,$\alpha$,0.056697603,44
116788,29,$\alpha$,0.05361333,57
116789,30,$\alpha$,0.04519971,35
116790,31,$\alpha$,0.04616596,30
116791,32,$\alpha$,0.015072728,31
116792,33,$\alpha$,0.037491124,61
116793,34,$\alpha$,0.036239587,47
116794,35,$\alpha$,0.030900862,65
116795,36,$\alpha$,0.024537578,52
116796,37,$\alpha$,0.024858668,62
116797,38,$\alpha$,0.043982845,34
116798,39,$\alpha$,0.034364544,60
116799,40,$\alpha$,0.019120315,38
116800,1,$\alpha$,0.033640873,25
116801,2,$\alpha$,0.065075845,32
116802,3,$\alpha$,0.029226888,33
116803,4,$\alpha$,0.036938265,27
116804,5,$\alpha$,0.057290055,51
116805,6,$\alpha$,0.022081584,55
116806,7,$\alpha$,0.027202656,63
116807,8,$\alpha$,0.02488822,37
116808,9,$\alpha$,0.03651832,50
116809,10,$\alpha$,0.055695005,42
116810,11,$\alpha$,0.022400314,56
116811,12,$\alpha$,0.038559075,49
116812,13,$\alpha$,0.046002597,40
116813,14,$\alpha$,0.03600546,54
116814,15,$\alpha$,0.023391258,66
116815,16,$\alpha$,0.054852583,67
116816,17,$\alpha$,0.035992485,46
116817,18,$\alpha$,0.030992817,24
116818,19,$\alpha$,0.030019904,23
116819,20,$\alpha$,0.029202316,43
116820,21,$\alpha$,0.034115247,64
116821,22,$\alpha$,0.02460943,58
116822,23,$\alpha$,0.041772842,48
116823,24,$\alpha$,0.03398612,29
116824,25,$\alpha$,0.027263803,45
116825,26,$\alpha$,0.046311315,28
116826,27,$\alpha$,0.029780539,39
116827,28,$\alpha$,0.027034575,44
116828,29,$\alpha$,0.020517953,57
116829,30,$\alpha$,0.024154738,35
116830,31,$\alpha$,0.031269576,30
116831,32,$\alpha$,0.020966884,31
116832,33,$\alpha$,0.036229994,61
116833,34,$\alpha$,0.026483737,47
116834,35,$\alpha$,0.03596651,65
116835,36,$\alpha$,0.028030008,52
116836,37,$\alpha$,0.042407207,62
116837,38,$\alpha$,0.033740766,34
116838,39,$\alpha$,0.026497312,60
116839,40,$\alpha$,0.02985944,38
116840,1,$\alpha$,0.007480592,25
116841,2,$\alpha$,0.027976252,32
116842,3,$\alpha$,0.009695218,33
116843,4,$\alpha$,0.040504605,27
116844,5,$\alpha$,0.02888916,51
116845,6,$\alpha$,0.0128779365,55
116846,7,$\alpha$,0.013683447,63
116847,8,$\alpha$,0.028595202,37
116848,9,$\alpha$,0.039043248,50
116849,10,$\alpha$,0.022076298,42
116850,11,$\alpha$,0.016508501,56
116851,12,$\alpha$,0.017446645,49
116852,13,$\alpha$,0.015959535,40
116853,14,$\alpha$,0.011668546,54
116854,15,$\alpha$,0.013122241,66
116855,16,$\alpha$,0.013692362,67
116856,17,$\alpha$,0.01637486,46
116857,18,$\alpha$,0.02719737,24
116858,19,$\alpha$,0.011389541,23
116859,20,$\alpha$,0.028637232,43
116860,21,$\alpha$,0.018810077,64
116861,22,$\alpha$,0.057407066,58
116862,23,$\alpha$,0.01448732,48
116863,24,$\alpha$,0.045528244,29
116864,25,$\alpha$,0.017486915,45
116865,26,$\alpha$,0.019211888,28
116866,27,$\alpha$,0.011874234,39
116867,28,$\alpha$,0.01017932,44
116868,29,$\alpha$,0.012581649,57
116869,30,$\alpha$,0.010999816,35
116870,31,$\alpha$,0.01625496,30
116871,32,$\alpha$,0.012988475,31
116872,33,$\alpha$,0.014191499,61
116873,34,$\alpha$,0.016600026,47
116874,35,$\alpha$,0.022795279,65
116875,36,$\alpha$,0.025450844,52
116876,37,$\alpha$,0.00900379,62
116877,38,$\alpha$,0.017120058,34
116878,39,$\alpha$,0.053274874,60
116879,40,$\alpha$,0.033115838,38
116880,1,$\alpha$,0.03208514,25
116881,2,$\alpha$,0.039560966,32
116882,3,$\alpha$,0.025189929,33
116883,4,$\alpha$,0.022942327,27
116884,5,$\alpha$,0.014197892,51
116885,6,$\alpha$,0.02613944,55
116886,7,$\alpha$,0.021294173,63
116887,8,$\alpha$,0.02529135,37
116888,9,$\alpha$,0.024659108,50
116889,10,$\alpha$,0.030692518,42
116890,11,$\alpha$,0.019517692,56
116891,12,$\alpha$,0.03612103,49
116892,13,$\alpha$,0.024171283,40
116893,14,$\alpha$,0.019603057,54
116894,15,$\alpha$,0.026670245,66
116895,16,$\alpha$,0.027183497,67
116896,17,$\alpha$,0.023086408,46
116897,18,$\alpha$,0.025440684,24
116898,19,$\alpha$,0.026716089,23
116899,20,$\alpha$,0.045178942,43
116900,21,$\alpha$,0.025625234,64
116901,22,$\alpha$,0.030409744,58
116902,23,$\alpha$,0.038484108,48
116903,24,$\alpha$,0.023447344,29
116904,25,$\alpha$,0.033008642,45
116905,26,$\alpha$,0.029045297,28
116906,27,$\alpha$,0.029554542,39
116907,28,$\alpha$,0.036646135,44
116908,29,$\alpha$,0.026367757,57
116909,30,$\alpha$,0.015127986,35
116910,31,$\alpha$,0.012668433,30
116911,32,$\alpha$,0.028781474,31
116912,33,$\alpha$,0.034412522,61
116913,34,$\alpha$,0.025198847,47
116914,35,$\alpha$,0.021985158,65
116915,36,$\alpha$,0.019570203,52
116916,37,$\alpha$,0.020860307,62
116917,38,$\alpha$,0.03343299,34
116918,39,$\alpha$,0.028381348,60
116919,40,$\alpha$,0.02421238,38
116920,1,$\alpha$,0.012695933,25
116921,2,$\alpha$,0.02737068,32
116922,3,$\alpha$,0.01188156,33
116923,4,$\alpha$,0.012195029,27
116924,5,$\alpha$,0.018706325,51
116925,6,$\alpha$,0.010158211,55
116926,7,$\alpha$,0.0315913,63
116927,8,$\alpha$,0.0034013288,37
116928,9,$\alpha$,0.014800035,50
116929,10,$\alpha$,0.012817105,42
116930,11,$\alpha$,0.0057780105,56
116931,12,$\alpha$,0.043273855,49
116932,13,$\alpha$,0.017381536,40
116933,14,$\alpha$,0.0075053754,54
116934,15,$\alpha$,0.02799283,66
116935,16,$\alpha$,0.029057866,67
116936,17,$\alpha$,0.032822043,46
116937,18,$\alpha$,0.013125791,24
116938,19,$\alpha$,0.012260744,23
116939,20,$\alpha$,0.011051784,43
116940,21,$\alpha$,0.009176189,64
116941,22,$\alpha$,0.018481592,58
116942,23,$\alpha$,0.022210356,48
116943,24,$\alpha$,0.026259428,29
116944,25,$\alpha$,0.007627098,45
116945,26,$\alpha$,0.008182653,28
116946,27,$\alpha$,0.0075572664,39
116947,28,$\alpha$,0.014641859,44
116948,29,$\alpha$,0.018886294,57
116949,30,$\alpha$,0.038619217,35
116950,31,$\alpha$,0.025148874,30
116951,32,$\alpha$,0.06654962,31
116952,33,$\alpha$,0.010160758,61
116953,34,$\alpha$,0.028233623,47
116954,35,$\alpha$,0.0153294485,65
116955,36,$\alpha$,0.007222841,52
116956,37,$\alpha$,0.014456151,62
116957,38,$\alpha$,0.059445687,34
116958,39,$\alpha$,0.035396792,60
116959,40,$\alpha$,0.022046879,38
116960,1,$\alpha$,0.03026315,25
116961,2,$\alpha$,0.023368284,32
116962,3,$\alpha$,0.014366724,33
116963,4,$\alpha$,0.0199559,27
116964,5,$\alpha$,0.026532883,51
116965,6,$\alpha$,0.019731132,55
116966,7,$\alpha$,0.01610675,63
116967,8,$\alpha$,0.02732645,37
116968,9,$\alpha$,0.011630269,50
116969,10,$\alpha$,0.017607383,42
116970,11,$\alpha$,0.009737971,56
116971,12,$\alpha$,0.022764495,49
116972,13,$\alpha$,0.013295627,40
116973,14,$\alpha$,0.020443937,54
116974,15,$\alpha$,0.021818617,66
116975,16,$\alpha$,0.018273434,67
116976,17,$\alpha$,0.029496511,46
116977,18,$\alpha$,0.021523917,24
116978,19,$\alpha$,0.015372795,23
116979,20,$\alpha$,0.031902123,43
116980,21,$\alpha$,0.014912337,64
116981,22,$\alpha$,0.014374855,58
116982,23,$\alpha$,0.027749052,48
116983,24,$\alpha$,0.02007804,29
116984,25,$\alpha$,0.020977128,45
116985,26,$\alpha$,0.015524148,28
116986,27,$\alpha$,0.020638919,39
116987,28,$\alpha$,0.04108346,44
116988,29,$\alpha$,0.033157844,57
116989,30,$\alpha$,0.024669116,35
116990,31,$\alpha$,0.03240257,30
116991,32,$\alpha$,0.03075697,31
116992,33,$\alpha$,0.02081878,61
116993,34,$\alpha$,0.012247694,47
116994,35,$\alpha$,0.01868686,65
116995,36,$\alpha$,0.021672988,52
116996,37,$\alpha$,0.030936966,62
116997,38,$\alpha$,0.017673448,34
116998,39,$\alpha$,0.0353991,60
116999,40,$\alpha$,0.019244837,38
117000,1,$\alpha$,0.023403063,25
117001,2,$\alpha$,0.020428449,32
117002,3,$\alpha$,0.012646431,33
117003,4,$\alpha$,0.025188873,27
117004,5,$\alpha$,0.02148185,51
117005,6,$\alpha$,0.028145729,55
117006,7,$\alpha$,0.015032332,63
117007,8,$\alpha$,0.022922643,37
117008,9,$\alpha$,0.017468492,50
117009,10,$\alpha$,0.018699015,42
117010,11,$\alpha$,0.024884406,56
117011,12,$\alpha$,0.024122829,49
117012,13,$\alpha$,0.023326803,40
117013,14,$\alpha$,0.02917588,54
117014,15,$\alpha$,0.02144433,66
117015,16,$\alpha$,0.029211929,67
117016,17,$\alpha$,0.021453457,46
117017,18,$\alpha$,0.023705816,24
117018,19,$\alpha$,0.017230516,23
117019,20,$\alpha$,0.023539519,43
117020,21,$\alpha$,0.021070996,64
117021,22,$\alpha$,0.022858288,58
117022,23,$\alpha$,0.021740625,48
117023,24,$\alpha$,0.026377859,29
117024,25,$\alpha$,0.023229023,45
117025,26,$\alpha$,0.022388706,28
117026,27,$\alpha$,0.024018537,39
117027,28,$\alpha$,0.027514063,44
117028,29,$\alpha$,0.012065704,57
117029,30,$\alpha$,0.015816655,35
117030,31,$\alpha$,0.025942255,30
117031,32,$\alpha$,0.021345386,31
117032,33,$\alpha$,0.02251476,61
117033,34,$\alpha$,0.034694575,47
117034,35,$\alpha$,0.022615526,65
117035,36,$\alpha$,0.038813584,52
117036,37,$\alpha$,0.026353406,62
117037,38,$\alpha$,0.026153348,34
117038,39,$\alpha$,0.029261015,60
117039,40,$\alpha$,0.027066264,38
117040,1,$\alpha$,0.01780299,25
117041,2,$\alpha$,0.039013516,32
117042,3,$\alpha$,0.019159675,33
117043,4,$\alpha$,0.023603119,27
117044,5,$\alpha$,0.017321363,51
117045,6,$\alpha$,0.024030622,55
117046,7,$\alpha$,0.017675618,63
117047,8,$\alpha$,0.019835757,37
117048,9,$\alpha$,0.037123907,50
117049,10,$\alpha$,0.025267651,42
117050,11,$\alpha$,0.027602576,56
117051,12,$\alpha$,0.028470457,49
117052,13,$\alpha$,0.023750208,40
117053,14,$\alpha$,0.027921429,54
117054,15,$\alpha$,0.02472652,66
117055,16,$\alpha$,0.017396748,67
117056,17,$\alpha$,0.014547687,46
117057,18,$\alpha$,0.035877217,24
117058,19,$\alpha$,0.025003226,23
117059,20,$\alpha$,0.020313224,43
117060,21,$\alpha$,0.021640478,64
117061,22,$\alpha$,0.015021308,58
117062,23,$\alpha$,0.036896456,48
117063,24,$\alpha$,0.022009559,29
117064,25,$\alpha$,0.04943495,45
117065,26,$\alpha$,0.027924148,28
117066,27,$\alpha$,0.013988728,39
117067,28,$\alpha$,0.012398051,44
117068,29,$\alpha$,0.03243572,57
117069,30,$\alpha$,0.02009177,35
117070,31,$\alpha$,0.025722094,30
117071,32,$\alpha$,0.03665416,31
117072,33,$\alpha$,0.02017344,61
117073,34,$\alpha$,0.01950136,47
117074,35,$\alpha$,0.015911013,65
117075,36,$\alpha$,0.03371101,52
117076,37,$\alpha$,0.015722226,62
117077,38,$\alpha$,0.021618584,34
117078,39,$\alpha$,0.04598433,60
117079,40,$\alpha$,0.02505242,38
117080,1,$\alpha$,0.01826786,25
117081,2,$\alpha$,0.038950503,32
117082,3,$\alpha$,0.019700315,33
117083,4,$\alpha$,0.028552828,27
117084,5,$\alpha$,0.022526171,51
117085,6,$\alpha$,0.023276623,55
117086,7,$\alpha$,0.024662314,63
117087,8,$\alpha$,0.022319803,37
117088,9,$\alpha$,0.017813088,50
117089,10,$\alpha$,0.035337094,42
117090,11,$\alpha$,0.015283632,56
117091,12,$\alpha$,0.018381348,49
117092,13,$\alpha$,0.0228855,40
117093,14,$\alpha$,0.018172048,54
117094,15,$\alpha$,0.021301335,66
117095,16,$\alpha$,0.032025628,67
117096,17,$\alpha$,0.029000733,46
117097,18,$\alpha$,0.026300365,24
117098,19,$\alpha$,0.017021399,23
117099,20,$\alpha$,0.030237865,43
117100,21,$\alpha$,0.016953493,64
117101,22,$\alpha$,0.023678418,58
117102,23,$\alpha$,0.022420293,48
117103,24,$\alpha$,0.027179405,29
117104,25,$\alpha$,0.02147479,45
117105,26,$\alpha$,0.038514864,28
117106,27,$\alpha$,0.022785854,39
117107,28,$\alpha$,0.021643547,44
117108,29,$\alpha$,0.025489287,57
117109,30,$\alpha$,0.027917722,35
117110,31,$\alpha$,0.02494009,30
117111,32,$\alpha$,0.027490947,31
117112,33,$\alpha$,0.014905594,61
117113,34,$\alpha$,0.017509548,47
117114,35,$\alpha$,0.030981747,65
117115,36,$\alpha$,0.023284553,52
117116,37,$\alpha$,0.016985826,62
117117,38,$\alpha$,0.02509362,34
117118,39,$\alpha$,0.0294935,60
117119,40,$\alpha$,0.017618414,38
117120,1,$\alpha$,0.014423768,25
117121,2,$\alpha$,0.023020877,32
117122,3,$\alpha$,0.02179813,33
117123,4,$\alpha$,0.022169659,27
117124,5,$\alpha$,0.022879466,51
117125,6,$\alpha$,0.015550012,55
117126,7,$\alpha$,0.01847165,63
117127,8,$\alpha$,0.01901142,37
117128,9,$\alpha$,0.0215258,50
117129,10,$\alpha$,0.021324031,42
117130,11,$\alpha$,0.00901615,56
117131,12,$\alpha$,0.02363267,49
117132,13,$\alpha$,0.01671072,40
117133,14,$\alpha$,0.011724101,54
117134,15,$\alpha$,0.015394369,66
117135,16,$\alpha$,0.008562434,67
117136,17,$\alpha$,0.018389795,46
117137,18,$\alpha$,0.015793556,24
117138,19,$\alpha$,0.013228652,23
117139,20,$\alpha$,0.017589577,43
117140,21,$\alpha$,0.0147340875,64
117141,22,$\alpha$,0.019513568,58
117142,23,$\alpha$,0.02362822,48
117143,24,$\alpha$,0.018890126,29
117144,25,$\alpha$,0.012019592,45
117145,26,$\alpha$,0.019828122,28
117146,27,$\alpha$,0.016026545,39
117147,28,$\alpha$,0.02213949,44
117148,29,$\alpha$,0.013292719,57
117149,30,$\alpha$,0.019118067,35
117150,31,$\alpha$,0.023348007,30
117151,32,$\alpha$,0.011781484,31
117152,33,$\alpha$,0.029803509,61
117153,34,$\alpha$,0.022382012,47
117154,35,$\alpha$,0.015256135,65
117155,36,$\alpha$,0.028671408,52
117156,37,$\alpha$,0.016567303,62
117157,38,$\alpha$,0.024393069,34
117158,39,$\alpha$,0.01845183,60
117159,40,$\alpha$,0.013820806,38
117160,1,$\alpha$,0.020961074,25
117161,2,$\alpha$,0.019898802,32
117162,3,$\alpha$,0.014299519,33
117163,4,$\alpha$,0.019442925,27
117164,5,$\alpha$,0.03185917,51
117165,6,$\alpha$,0.02366651,55
117166,7,$\alpha$,0.01422252,63
117167,8,$\alpha$,0.02065354,37
117168,9,$\alpha$,0.013849222,50
